Code,Card,Keyword,Reversed
AS,Ace of Swords,"Conquest, Valiance.","Disruption, Entropy, Chaos, Complications, Anarchy."
2S,Two of Swords,"Stalemate, Catch-22, Difficult Choice.","Settlement, Decision, Arbitration."
3S,Three of Swords,"Strive, Loss, Heartbreak.","Disorder, Hurt."
4S,Four of Swords,"Repose, Recovery, Illness.","Caution, Social Unrest."
5S,Five of Swords,"Corruption, Profiteering, Cunning, Machiavellian.","Recompense, Contrition, Penance."
6S,Six of Swords,"Journey, Pilgrimage, Baggage.","Afflicted, Trapped, Yearning Escape."
7S,Seven of Swords,"Impulsiveness, Spontaneity, Deception.","Reparation, Forfeiture, Requital."
8S,Eight of Swords,"Imprisonment, Confinement, Captivity, Constraints.","Emancipation, Release, Clemency."
9S,Nine of Swords,"Haunted, Grieving, Insomnia, Troubled.","Recuperation, Healing, Infidelity."
10S,Ten of Swords,"Retaliation, Reprisals, Revenge, Treachery.","Endurance, Comeback."
PS,Page of Swords,"Amitious, Judicious, Communication.","Inhibition, Self-Consciouss."
NS,Knight of Swords,"Aggressive, Charge, Warrior.","Warpath, Aggression, Hostility."
QS,Queen of Swords,"Astute, High-Achieving, Executive, Striking.","Spite, Snobbery, Elitism."
KS,King of Swords,"Intellectual, Analytical, Stern, Orderly.","Malice, Unyielding."
AW,Ace of Wands,"Venture, Opportunity.","Indolence, Procrastination."
2W,Two of Wands,"Accomplishment, Aspiration.","Impatience, Haste, Rush."
3W,Three of Wands,"Validation, Effort, Productivity.","Negligence, Careless, Setbacks, Mistakes."
4W,Four of Wands,"Prosperity, Concord, Familial Bliss.","Attunement, Harmony, Rite of Passage."
5W,Five of Wands,"Competition, Rivalry, Contention.","Opportunity, Reconciliation."
6W,Six of Wands,"Success, Victory, Exalt, Tribute.","Postponement, Pending Advancement."
7W,Seven of Wands,"Resistance, Opposition, Tenacity.","Indecision, Vulnerability, Lacking Confidence."
8W,Eight of Wands,"Action, Vigour, Alacrity, Acceleration.","Altercation, Regression, Rashness."
9W,Nine of Wands,"Defensive, Protective.","Exhaustion, Battle, Depletion."
10W,Ten of Wands,"Burdened, Travail, Exhaustion, Labour.","Accountability, Reassessment."
PW,Page of Wands,"Motivated, Energetic, Receipt of Project News.","Passivity, Inarticulate."
NW,Knight of Wands,"Impetuous, Competitive, Hot-Headed.","Insecurity, Hesitation."
QW,Queen of Wands,"Self-Assured, Naturalist, Down-to-Earth.","Capitulation, Yielding, Lacking Virtue."
KW,King of Wands,"Authoritarian, Demanding, Noble, Honest.","Tyranny, Despotic, Disciplinarian, Doctrinaire."
AC,Ace of Cups,"Abundance, Affirmation, Fountainhead.","Superficiality, Rejection, Promiscuity."
2C,Two of Cups,"Friendship, Affinity, Cooperation.","Imbalance, Quarreling, Misunderstandings."
3C,Three of Cups,"Celebration, Jubilee, Merriment.","Hedonism, Indulgence, Sensualist."
4C,Four of Cups,"Introspection, Reflection, Contemplation.","Regeneration, Emergence."
5C,Five of Cups,"Loss, Mourning, Regrets.","Restoration, Acceptance."
6C,Six of Cups,"Nostalgia, Childhood, Reminiscence, Memories.","Clinging, Attachment, Puerility, Naivete, Childishness."
7C,Seven of Cups,"Temptation, Superficiality, Enticement, Decoys.","Determination, Decision, Purpose, Revealed."
8C,Eight of Cups,"Abandonment, Detachment, Spiritual Journey.","Epicurean, Peripatetic, Drifting, Aimless."
9C,Nine of Cups,"Wishful, Wish Granted, Comfort, Material Success.","Overindulgence, Greed."
10C,Ten of Cups,"Happiness, Joy, Felicity.","Discord, Broken Family, Shattered Values."
PC,Page of Cups,"Dreamer, Sensitive, Poetic, Receipt of Personal News.","Quixotic, Dreamer."
NC,Knight of Cups,"Charming, Affable, Equanimity.","Discouragement, Ennui, Unmotivated, Discomfiture."
QC,Queen of Cups,"Nurturing, Warm, Tender, Empathic.","Manipulation, Jealousy."
KC,King of Cups,"Diplomatic, Caring, Fatherhood.","Overrought, Distracted."
AP,Ace of Pentacles,"Offer, Investment, Small Financial Gain.","Disillusionment, Financial Disappointment."
2P,Two of Pentacles,"Multitasking, Juggling, Prospects, Possibilities.","Overwhelmed, Must Prioritise."
3P,Three of Pentacles,"Endorsement, Recognition, Fraternity.","Mediocrity, Displacement."
4P,Four of Pentacles,"Miser, Frugality.","Recession, Obstacles."
5P,Five of Pentacles,"Destination, Privation, Hardship.","Rehabilitation, Refurbishment, Improvement."
6P,Six of Pentacles,"Charity, Benevolence, Alms, Philanthropy.","Ungracious, Indigence, Financial Hardship."
7P,Seven of Pentacles,"Promotion, Harvest, Fiscal Responsibilities.","Anxiety, Denial, Non-Confrontation."
8P,Eight of Pentacles,"Aspiration, Apprenticeship, Natural Gifts in Craft.","Squandering, Trifle, Idle."
9P,Nine of Pentacles,"Prosperity, Refinement, Independence.","Dissatisfaction, Depression."
10P,Ten of Pentacles,"Stability, Prestige, Aristocracy, Urbanity.","Disengagement, Ostracism, Familial Disunion."
PP,Page of Pentacles,"Practical, Stylish, Scholarly, Receipt of Financial News.","Materialism, Superficiality."
NP,Knight of Pentacles,"Methodical, Rational, Stable, Relaible.","Inertia, Timidity."
QP,Queen of Pentacles,"Charitable, Noble Opulance.","Dependence, Indebtedness, Self-Preservation."
KP,King of Pentacles,"Powerful, Enterprising, Established.","Sophomoric, Stoic."
0,The Fool,"Beginnings, Innocence, Clear Conscience.","Vanity, Foolishness, Indiscretion, Inanity."
1,The Magician,"Power, Adroitness, Construction.","Destruction, Bane, Untapped Potential."
2,The High Priestess,"Intuition, Clairvoyance, Premonition, Perceptivity.","Deceit, Duplicity, Hypocrasy, Secrets."
3,The Empress,"Fertility, Creativity, Maternity.","Barren, Lacuna, Cavity, Omission."
4,The Emperor,"Authority, Government, Paternity.","Passivity, Overthrow, Coup d'etat."
5,The Hierophant,"Tradition, Conventionalism, Institutionalism.","Non-conformity, Unorthodox, Bohemian, Existential."
6,The Lovers,"Passion, Partnership, The Primordial Choice.","Temptation, Interference, Discord, Moral Quandry."
7,The Chariot,"Victory, Control, Jurisdiction.","Riot, Turbulence, Wrong Direction."
8,Strength,"Compassion, Force, Fortitude, Security.","Brute, Carnal, Physical, Obdurate."
9,The Hermit,"Wisdom, Erudition, Mentorship.","Ignorance, Immaturity, Petulant, Unreasonable."
10,Wheel of Fortune,"Kismet, Destiny, Luck, Serendipity.","Flux, Unrest, Mischance, Misfortune."
11,Justice,"Equilibrium, Equity, Fairness, Legality.","Prejudice, Bias, Chauvinism, Injustice."
12,The Hanged Man,"Self-Sacrifice, Suspension, Prophesy, Grace.","Selfishness, Martyrdom, Persecution."
13,Death,"Transformation, Mortality, Suffering.","Conclusion, Cessation, Denouement, Windup."
14,Temperance,"Balance, Forbearance, Attune, Harmonise.","Excess, Overflow."
15,The Devil,"Bondage, Temptation, Seduction.","Defeat, Release, Severance."
16,The Tower,"Hubris, Sudden Fall, Ego, Catastrophe.","Oppression, Cataclysm."
17,The Star,"Hope, Optimism, Inspiration, Visionary.","Pessimism, Negativity, Maladies."
18,The Moon,"Reflection, Changes, Imagination, Speculation.","Inconstancy, Risky, Confusion, Uncertainty."
19,The Sun,"Attainment, Glory, Majest, Celebrity, Eminence.","Disorientation, Quiescence."
20,Judgement,"Awakening, Epiphany, Spiritual Realisation.","Misinterpretation, Misreckoning."
21,The World,"Fulfillment, Completion, Masterpiece, Consummation.","Hiatus, Agnosticism, Sceptic, Chagrin, Lacking Fulfillment."
